sent;sentcorrect;level
Ich hoffe, dass meine kurze Erzählung dich interessiert und du ein Gast von Petrosawodsk wirst, wann die Quarantäne beendet ist.;Ich hoffe, dass meine kurze Erzählung dich interessiert und du ein Gast von Petrosawodsk wirst, wenn die Quarantäne beendet ist.;1
Liebe Mark, Entschuldige, dass ich lange nicht geschrieben habe.;Lieber Mark Mark, Entschuldige, dass ich lange nicht geschrieben habe.;1
Bist du schon fertig mit die Prüfungen?;Bist du schon fertig mit den Prüfungen?;1
Ich hoffe, kommst du bald und besuchst mich.;Ich hoffe, du kommst bald und besuchst mich.;1
Ich hoffe, du kommst bald und mich besuchen.;Ich hoffe, du kommst bald und besuchst mich.;1
Mein Lieblingsort ist das Petrosawodsker Kai.;Mein Lieblingsort ist der Petrosawodsker Kai.;1
Ein Besuch diesen Ort ist ein Muss für die Touristen.;Ein Besuch dieses Ortes ist ein Muss für die Touristen.;1
Ein Besuch dieses Ortes ist ein Muss fur die Touristen.;Ein Besuch dieses Ortes ist ein Muss für die Touristen.;0
Die beste Zeit fur der Besuch ist ein früher Sommermorgen.;Die beste Zeit für den Besuch ist ein früher Sommermorgen.;1
In dieser Zeit ist das Kai fast leer und kann man seine Schönheit genießen.;In dieser Zeit ist der Kai fast leer und kann man seine Schönheit genießen.;1
Das Petrosawodsker Kai ist eine Galerie von moderner Kunst.;Der Petrosawodsker Kai ist eine Galerie von moderner Kunst.;1
Der Petrosawodsker Kai ist eine Galerie von modernem Kunst.;Der Petrosawodsker Kai ist eine Galerie von moderner Kunst.;1
Daher ist diese Ort perfekt für einen Spaziergang mit einem Freund, für dich und mich!;Daher ist dieser Ort perfekt für einen Spaziergang mit einem Freund, für dich und mich!;1
Mehrere Skulpturen mag ich lieber als andere.;Einige Skulpturen mag ich lieber als andere.;1
Zum Beispiel, die Fischer.;Zum Beispiel die Fischer.;0
Der Autor dieses Skulptur ist Rafael Consuegra.;Der Autor dieser Skulptur ist Rafael Consuegra.;1
Noch eine ist der Wunschbaum.;Eine weitere Skulptur ist der Wunschbaum.;0
Ein echtes Baum ist mit speziellem Material bedeckt.;Ein echter Baum ist mit speziellem Material bedeckt.;1
Es ist ein Ohr an dem Baum, und die Bewohner von Petrosawodsk glauben, wenn sie ihren Wunsch ins Ohr flüstern, gehen ihre Wünsche in Erfüllung.;Es gibt ein Ohr an dem Baum, und die Bewohner von Petrosawodsk glauben, wenn sie ihren Wunsch ins Ohr flüstern, gehen ihre Wünsche in Erfüllung.;1
Es gibt ein Ohr auf dem Baum, und die Bewohner von Petrosawodsk glauben, wenn sie ihren Wunsch ins Ohr flüstern, gehen ihre Wünsche in Erfüllung.;Es gibt ein Ohr an dem Baum, und die Bewohner von Petrosawodsk glauben, wenn sie ihren Wunsch ins Ohr flüstern, gehen ihre Wünsche in Erfüllung.;1
Es gibt ein Ohr an dem Baum, und die Bewohner von Petrosawodsk glauben, wenn sie ihr Wunsch ins Ohr flüstern, gehen ihre Wünsche in Erfüllung.;Es gibt ein Ohr an dem Baum, und die Bewohner von Petrosawodsk glauben, wenn sie ihren Wunsch ins Ohr flüstern, gehen ihre Wünsche in Erfüllung.;1
Es gibt ein Ohr an dem Baum, und die Bewohner von Petrosawodsk glauben, wenn sie ihren Wunch ins Ohr flüstern, gehen ihre Wünsche in Erfüllung.;Es gibt ein Ohr an dem Baum, und die Bewohner von Petrosawodsk glauben, wenn sie ihren Wunsch ins Ohr flüstern, gehen ihre Wünsche in Erfüllung.;0
Die Skulptur symbolisiert der Gründung der Stadt.;Die Skulptur symbolisiert die Gründung der Stadt.;1
Die Skulptur symbolisiert die Gründung des Stadts.;Die Skulptur symbolisiert die Gründung der Stadt.;1
Das Wappen von Petrosawodsk ist auf seinem Schild.;Das Wappen von Petrosawodsk ist auf seinem Schild zu sehen.;0
Ich habe über meine Lieblingsskulpturen erzählen.;Ich habe über meine Lieblingsskulpturen erzählt.;1
Es gibt noch meht Skulpturen auf dem Petrosawodsker Kai.;Es gibt noch mehr Skulpturen auf dem Petrosawodsker Kai.;0
Es gibt noch mehr Skulpturen auf den Petrosawodsker Kai.;Es gibt noch mehr Skulpturen auf dem Petrosawodsker Kai.;1
Du musst sie mit eigenen Augen sehen.;Du musst sie mit den eigenen Augen sehen.;0
Und jetzt möchte ich Ihnen von dem schönen Kai der Stadt Petrosawodsk erzählen.;Und jetzt möchte ich dir von dem schönen Kai der Stadt Petrosawodsk erzählen.;2
Das Onega-Kai gilt als Visitenkarte von Petrosawodsk.;Der Onega-Kai gilt als Visitenkarte von Petrosawodsk.;1
Du solltest die Promenade an einem frühen Frühlings oder Sommermorgen besuchen.;Du solltest die Promenade an einem frühen Frühlings- oder Sommermorgen besuchen.;0
Zu dieser Zeit ist das Kai fast menschenleer, sauber und voller Licht und Freude.;Zu dieser Zeit ist der Kai fast menschenleer, sauber und voller Licht und Freude.;1
Das heutige Kai ist eine Galerie für moderne Kunst mit Skulpturen aus verschiedenen Städten.;Der heutige Kai ist eine Galerie für moderne Kunst mit Skulpturen aus verschiedenen Städten.;1
Alle von ihnen sind in einer ungewöhnlichen Form hergestellt.;Alle davon sind in einer ungewöhnlichen Form hergestellt.;1
Ein Ohr ist in einen Baumstamm angemacht.;Ean Ohr ist in einen Baumstamm angemacht.;1
Ean Ohr ist in einen Baumstamm geschnitzt.;Ean Ohr ist in einen Baumstamm angemacht.;1
Es gibt einen Glauben: Wenn eine Glocke als Antwort auf eine Anfrage läutet, wird der Wunsch wahr.;Es gibt einen Glauben: Wenn eine Glocke als Antwort auf eine Bitte läutet, wird der Wunsch wahr.;1
Die nächste Skulptur ist eine Skulptur namens Der Einung von T. Laurenalli, Joensuu, 2003.;Die nächste Skulptur ist eine Skulptur namens Die Einigung von T. Laurenalli, Joensuu, 2003.;1
Die Komposition besteht aus zwei blauen Metallhalbbögen, die durch einen symbolischen Die Funken der Freundschaft verbunden sind, was Freundschaft und Zusammenarbeit zwischen den beiden Städten bedeutet.;Komposition besteht aus zwei blauen Metallhalbbögen, die durch einen symbolischen Die Funken der Freundschaft verbunden sind, was Freundschaft und Zusammenarbeit zwischen den beiden Städten bedeutet.;2
Darüber hinaus wurde der zweite Teil des Promenades zum 300.;Darüber hinaus wurde der zweite Teil der Promenade zum 300.;1
Die Gesamtlänge des Promenades beträgt heute fast eineinhalb Kilometer.;Die Gesamtlänge der Promenade beträgt heute fast eineinhalb Kilometer.;1
Ich freue mich auf Ihren Besuch.;Ich freue mich auf deinen Besuch.;1
Ich werde Ihnen viele interessante und schöne Orte zeigen.;Ich zeige dir viele interessante und schöne Orte.;1
Und jetzt erzählst du mir von deiner Heimatstadt St. Petersburg.;Und jetzt erzähl mir von deiner Heimatstadt St. Petersburg.;1
Wir können für eine Woche bis 8. bis 15. Juli fahren.;Wir können für eine Woche vom 8. bis 15. Juli fahren.;1
Wir können für eine Woche vom 8 bis 15. Juli fahren.;Wir können für eine Woche vom 8. bis 15. Juli fahren.;0
Wir können für eine Woche vom 8. zum 15. Juli fahren.;Wir können für eine Woche vom 8. bis 15. Juli fahren.;1
Wir können für eine Woche vom 8. bis 15 Juli fahren.;Wir können für eine Woche vom 8. bis 15. Juli fahren.;0
Bist du bei mir?;Bist du dabei?;1
Unzweifelhaft beeinflusst der Mensch die Natur mit seiner Tätigkeit und diese Wirkung ist oft schlecht.;Zweifellos beeinflusst der Mensch die Natur mit seiner Tätigkeit und diese Wirkung ist oft schlecht.;1
Die Seen, Meere, Flüssen und Ozeane werden verunreinigt.;Die Seen, Meere, Flüsse und Ozeane werden verunreinigt.;1
Die Wälder werden ausgehauen.;Die Wälder werden abgeholzt.;1
Zum Beispiel kann das Recycling die Anzahl des Mülls reduzieren.;Zum Beispiel kann das Recycling die Müllmenge reduzieren.;1
Es ist nötig, Planeten zu begrünen.;Es ist nötig, das Planet zu begrünen.;1
Es ist nötig, das Planet zu grünen.;Es ist nötig, das Planet zu begrünen.;1
Meiner Meinung nach muss man die Umwelt schützen und ihr am wenigstens schaden.;Meiner Meinung nach muss man die Umwelt schützen und ihr am wenigsten schaden.;0
Der Wort Mobbing stammt aus dem Englischen und bedeutet absichtliche, gezielte und wiederholte Angriffe auf eine Person.;Das Wort Mobbing stammt aus dem Englischen und bedeutet absichtliche, gezielte und wiederholte Angriffe auf eine Person.;1
Das Wort Mobbing stammt aus dem Englischen und bedeutet absichtliche, gezielte und wiederholte Angriffe auf die Person.;Das Wort Mobbing stammt aus dem Englischen und bedeutet absichtliche, gezielte und wiederholte Angriffe auf eine Person.;0
Warum die Kinder mobben die anderen Kinder?;Warum mobben die Kinder die anderen Kinder?;1
Aber was soll man tun in solcher Situationen?;Aber was soll man in solcher Situationen tun?;1
Ich denke, Eltern müssen mit ihren Kindern reden, für ihr Leben interessieren und sie unterstützen.;Ich denke, Eltern müssen mit ihren Kindern reden, sich für ihr Leben interessieren und sie unterstützen.;1
Aber ich meine, man muss die Präventionsmaßnahmen machen, um das Mobbing vorzubeugen.;Aber ich meine, man muss die Präventionsmaßnahmen treffen, um das Mobbing vorzubeugen.;1
Aber ich meine, man muss die Präventionsmaßnahmen treffen, um das Mobbing zu vorbeugen.;Aber ich meine, man muss die Präventionsmaßnahmen treffen, um das Mobbing vorzubeugen.;1
Ich glaube, man kann.;Ich glaube, das ist wohl möglich.;0
Zum Beispiel letztes Jahr hat Andrej Maksimiw im Dorf Baikit im Norden der Krasnojarskregion ein Mädchen gerettet, das in eisiges Wasser des Flusses Baikitik gefallen ist.;Zum Beispiel hat Andrej Maksimow im Dorf Baikit im Norden der Krasnojarskregion ein Mädchen gerettet, das in eisiges Wasser des Flusses Baikitik gefallen ist.;1
Nebenan spazierten die Mädchen.;Nebenan spazierten Mädchen.;0
Es gibt auch eine Meinung, dass Menschen von einigen Berufen weniger Geld verdienen, als sie verdienen müssen.;Es gibt auch eine Meinung, dass Menschen von einigen Berufen weniger Geld verdienen, als ihnen zusteht.;2
Zum Beispiel, finden viele Leute in Russland es ungerecht, dass viele Ärzte oder Lehrer eine ziemlich niedrige Löhnung haben, während die Menschen von einigen anderen Berufen eine sehr gute finanzielle Entlohnung haben.;Zum Beispiel: finden viele Leute in Russland es ungerecht, dass viele Ärzte oder Lehrer eine ziemlich niedrige Löhnung haben, während die Menschen von einigen anderen Berufen eine sehr gute finanzielle Entlohnung haben.;0
Zum Beispiel: viele Leute in Russland finden es ungerecht, dass viele Ärzte oder Lehrer eine ziemlich niedrige Löhnung haben, während die Menschen von einigen anderen Berufen eine sehr gute finanzielle Entlohnung haben.;Zum Beispiel: finden viele Leute in Russland es ungerecht, dass viele Ärzte oder Lehrer eine ziemlich niedrige Löhnung haben, während die Menschen von einigen anderen Berufen eine sehr gute finanzielle Entlohnung haben.;1
Zum Beispiel, kann man nicht widersprechen, dass solche Berufe wie Ärzte oder Rettungskräfte sehr wichtig für die Gesellschaft sind, weil diese Leute die Leben retten.;Zum Beispiel kann man nicht widersprechen, dass solche Berufe wie Ärzte oder Rettungskräfte sehr wichtig für die Gesellschaft sind, weil diese Leute die Leben retten.;0
Zum Beispiel man kann nicht widersprechen, dass solche Berufe wie Ärzte oder Rettungskräfte sehr wichtig für die Gesellschaft sind, weil diese Leute die Leben retten.;Zum Beispiel kann man nicht widersprechen, dass solche Berufe wie Ärzte oder Rettungskräfte sehr wichtig für die Gesellschaft sind, weil diese Leute die Leben retten.;1
Traditionelle Werte sind ein integraler Bestandteil jedes Volke Wenn Sie verloren und vergessen werden, dann wird diese Nation nicht mehr existieren.;Traditionelle Werte sind ein integraler Bestandteil jedes Volkes Wenn Sie verloren und vergessen werden, dann wird diese Nation nicht mehr existieren.;1
Ich meine, dass Bürgerpflicht die eigene, persönliche Vorstellung einer Person über Ihre moralischen Pflichten bedutet.;Ich meine, dass Bürgerpflicht die eigene, persönliche Vorstellung einer Person über Ihre moralischen Pflichten bedeutet.;1
Zum Glück, gibt es heute ziemlich viele Beispiele der Zivilcourage und Heldentum.;Zum Glück gibt es heute ziemlich viele Beispiele der Zivilcourage und Heldentum.;0
Das überraschendste Sache in dieser Geschichte ist das, dass Artem zuerst niemandem von seiner Heldentat erzählt hat.;Die überraschendste Sache in dieser Geschichte ist das, dass Artem zuerst niemandem von seiner Heldentat erzählt hat.;1
Dort unterrichtet Babar Ali, ein gewöhnlicher Schullehrer, nach seiner Hauptarbeit in seinem Hof Hunderter von Kindern aus einkommensschwachen Familien.;Dort unterrichtet Babar Ali, ein gewöhnlicher Schullehrer, nach seiner Hauptarbeit in seinem Hof unterrichtet... Hunderte von Kindern aus einkommensschwachen Familien.;1
Dort unterrichtet Babar Ali, ein gewöhnlicher Schullehrer, nach seiner Hauptarbeit in seinem Hof unterrichtet... Hunderte von Kinder aus einkommensschwachen Familien.;Dort unterrichtet Babar Ali, ein gewöhnlicher Schullehrer, nach seiner Hauptarbeit in seinem Hof unterrichtet... Hunderte von Kindern aus einkommensschwachen Familien.;1
Zweifellos haben heute Frauen gleiche Rechte wie Männer aufgrund dieser Veränderungen im sozialen und politischen Bereich.;Zweifellos haben heute die Frauen gleiche Rechte wie Männer aufgrund dieser Veränderungen im sozialen und politischen Bereich.;0
Natürlich gibt es Sexismus in unserer Zeit, aber der Kampf gegen das, vor allem in Europa und Amerika, ist weit darüber hinaus gegangen.;Natürlich gibt es Sexismus in unserer Zeit, aber der Kampf dagegen, vor allem in Europa und Amerika, ist weit darüber hinaus gegangen.;1
Natürlich gibt es Sexismus in unserer Zeit aber der Kampf dagegen, vor allem in Europa und Amerika, ist weit darüber hinaus gegangen.;Natürlich gibt es Sexismus in unserer Zeit, aber der Kampf dagegen, vor allem in Europa und Amerika, ist weit darüber hinaus gegangen.;0
Ihr Mann kann in solcher Situation sagen: Wir haben die Verantwortung gleich, arbeite mehr, wenn du nicht genug Mittel hast.;Der Mann kann in solcher Situation sagen: Wir haben die Verantwortung gleich, arbeite mehr, wenn du nicht genug Mittel hast.;1
Heute ist alles im Westen gleich geteilt, daher die Probleme der Weltanschauung bei modernen westlichen Frauen.;Heute ist alles im Westen gleich geteilt, daher kommen die Probleme der Weltanschauung bei modernen westlichen Frauen.;0
es ist schwierig, Ich bin eine Frau zu beantworten, da der Begriff der Weiblichkeit genauso verwischt ist wie die sozialen Rollen von Männern und Frauen.;ist es schwierig, Ich bin eine Frau zu beantworten, da der Begriff der Weiblichkeit genauso verwischt ist wie die sozialen Rollen von Männern und Frauen.;1
es schwierig, Ich bin eine Frau zu beantworten, da der Begriff der Weiblichkeit genauso verwischt ist wie die sozialen Rollen von Männern und Frauen.;ist es schwierig, Ich bin eine Frau zu beantworten, da der Begriff der Weiblichkeit genauso verwischt ist wie die sozialen Rollen von Männern und Frauen.;1
Man kann sein Leben ohne Internet nicht vorstellen!;Man kann sich sein Leben ohne Internet nicht vorstellen!;1
Man kann sich nicht sein Leben ohne Internet vorstellen!;Man kann sich sein Leben ohne Internet nicht vorstellen!;1
Meiner Meinung nach, ist Internet ein Instrument für Verbesserung und Erleichterung der Arbeit und des Lebens im Allgemeinen.;Meiner Meinung nach, ist das Internet ein Instrument für Verbesserung und Erleichterung der Arbeit und des Lebens im Allgemeinen.;0
Viele sagen und schreien markerschütternd, s das Internet das Übel des einundzwanzigsten Jahrhunderts ist.;Viele sagen und schreien markerschütternd, dass das Internet das Übel des einundzwanzigsten Jahrhunderts ist.;0
Aber ich kann Internet mit den Büchern vergleichen.;Aber ich kann das Internet mit den Büchern vergleichen.;0
Bücher sind auch anders, aber wer bestimmen kann, was nützlich und wahr ist, und was trägt Gefahr und Schaden, wer weiß, wie man Informationen filtern muss, versteht das ganze Ausmaß der Nützlichkeit des Internets.;Bücher sind auch anders, aber wer bestimmen kann, was nützlich und wahr ist, und was Gefahr und Schaden trägt, wer weiß, wie man Informationen filtern muss, versteht das ganze Ausmaß der Nützlichkeit des Internets.;1
Zweifellos haben heute viele Menschen Schwierigkeiten im Netz, manche haben Internetsucht, manche werden zum Opfer von Cybermobbing, aber ich denke in diesem Sinne zu radikal: die Ursache dieser Probleme sind der schwache Wille, der schwache Charakter, die Unfähigkeit, in der Gesellschaft zu sein, Probleme mit der Entwicklung der Intelligenz.;Zweifellos leiden an heute viele Menschen Schwierigkeiten im Netz, manche haben Internetsucht, manche werden zum Opfer von Cybermobbing, aber ich denke in diesem Sinne zu radikal: die Ursache dieser Probleme sind der schwache Wille, der schwache Charakter, die Unfähigkeit, in der Gesellschaft zu sein, Probleme mit der Entwicklung der Intelligenz.;1
Zweifellos leiden an heute viele Menschen Schwierigkeiten im Netz, manche haben Internetsucht, manche werden Opfer von Cybermobbing, aber ich denke in diesem Sinne zu radikal: die Ursache dieser Probleme sind der schwache Wille, der schwache Charakter, die Unfähigkeit, in der Gesellschaft zu sein, Probleme mit der Entwicklung der Intelligenz.;Zweifellos leiden an heute viele Menschen Schwierigkeiten im Netz, manche haben Internetsucht, manche werden zum Opfer von Cybermobbing, aber ich denke in diesem Sinne zu radikal: die Ursache dieser Probleme sind der schwache Wille, der schwache Charakter, die Unfähigkeit, in der Gesellschaft zu sein, Probleme mit der Entwicklung der Intelligenz.;1
Zweifellos leiden an heute viele Menschen Schwierigkeiten im Netz, manche haben Internetsucht, manche werden zum Opfer von Cybermobbing, aber ich denke in sem Sinne zu radikal: die Ursache dieser Probleme sind der schwache Wille, der schwache Charakter, die Unfähigkeit, in der Gesellschaft zu sein, Probleme mit der Entwicklung der Intelligenz.;Zweifellos leiden an heute viele Menschen Schwierigkeiten im Netz, manche haben Internetsucht, manche werden zum Opfer von Cybermobbing, aber ich denke in diesem Sinne zu radikal: die Ursache dieser Probleme sind der schwache Wille, der schwache Charakter, die Unfähigkeit, in der Gesellschaft zu sein, Probleme mit der Entwicklung der Intelligenz.;0
Wer hat Internetsucht?;Wer leidet an Internetsucht?;1
Die Leute, die keine echten Interessen, keine Hobbys, und natürlich viel Freizeit haben, das zeugt von Geistesarmut und Wertlosigkeit.;Die Leute. D die keine echten Interessen, keine Hobbys, und natürlich viel Freizeit haben, das zeugt von Geistesarmut und Wertlosigkeit.;0
Außerdem führt Swipen einen Feed stundenlang hintereinander zu intellektueller geistiger Begrenzung.;Außerdem führt Scrollen durch Feeds stundenlang hintereinander zu intellektueller geistiger Begrenzung.;1
Außerdem führt Scrollen durch Feeds stundenlang hintereinander zu intellektueller geistiger Knappheit.;Außerdem führt Scrollen durch Feeds stundenlang hintereinander zu intellektueller geistiger Begrenzung.;1
Opfer von Einschüchterung im Netz werden 1) die Jugendlichen, die nicht herausfinden können und keine Fähigkeiten haben, ihre Seite zu löschen, Beleidiger zu blockieren und Beleidigungen zu ignorieren, und 2) die Menschen, die schwachen Willen, schwachen Charakter haben.;Zum Opfer von Einschüchterung im Netz werden 1) die Jugendlichen, die nicht herausfinden können und keine Fähigkeiten haben, ihre Seite zu löschen, Beleidiger zu blockieren und Beleidigungen zu ignorieren, und 2) die Menschen, die schwachen Willen, schwachen Charakter haben.;1
Wenn es kein Internet gäbe, würden solche Leute nicht im Internet, sondern im wirklichen Leben auf jeden Fall geeitert gemobbt werden.;Wenn es kein Internet gäbe, würden solche Leute nicht im Internet, sondern im wirklichen Leben auf jeden Fall gemobbt werden gemobbt werden.;2
Wenn es kein Internet gäbe, würden solche Leute nicht im Internet, sondern im wirklichen Leben auf jeden Fall gemobbt werden.;Wenn es kein Internet gäbe, würden solche Leute nicht im Internet, sondern im wirklichen Leben auf jeden Fall gemobbt werden gemobbt werden.;1
Die Ökologie Ich möchte heute das Thema die Ökologie präsentieren.;Die Ökologie Ich möchte heute das Thema Ökologie präsentieren.;0
Ich denke, Sie haben einmal darüber nachgedacht, dass dieses Thema aktuell relevant ist und diskutiert wird.;Ich denke, Sie haben einmal darüber nachgedacht, dass dieses Thema heutzutage relevant ist und diskutiert wird.;1
Wenn jeder darüber nachdenkt, was wir der Natur danken, seine Einstellung zu Ihr ändern wird, wird sich vielleicht etwas ändern.;Wenn jeder darüber nachdenkt, was wir der Natur danken, seine Einstellung dazu ändern wird, wird sich vielleicht etwas ändern.;1
Das ist bekannt, dass die Helden normalweise diejenigen genannt werden, die die Heldentat machen.;Das ist bekannt, dass die Helden normalweise diejenigen genannt werden, die die Heldentat vollbringen.;1
Die Leute wissen nicht über sie.;Die Leute wissen nichts über sie.;1
Helden können auch Menschen unbekannt sein, die mutige Taten vollbrachten, das Leben einer Person oder eines Tieres retteten und in einem gefährlichen Moment mutig waren.;Helden können auch unbekannte Menschen sein, die mutige Taten vollbrachten, das Leben einer Person oder eines Tieres retteten und in einem gefährlichen Moment mutig waren.;1
Helden können auch unbekannte Menschen werden, die mutige Taten vollbrachten, das Leben einer Person oder eines Tieres retteten und in einem gefährlichen Moment mutig waren.;Helden können auch unbekannte Menschen sein, die mutige Taten vollbrachten, das Leben einer Person oder eines Tieres retteten und in einem gefährlichen Moment mutig waren.;1
Zum Beispiel, weiß ich eine Person, einen Jungen aus meiner Stadt.;Zum Beispiel weiß ich eine Person, einen Jungen aus meiner Stadt.;0
Zum Beispiel weiß ich eine Person, ein Jung aus meiner Stadt.;Zum Beispiel weiß ich eine Person, einen Jungen aus meiner Stadt.;1
Der Jung eilte ohne zu zögern, um sie zu retten.;Der Junge eilte ohne zu zögern, um sie zu retten.;1
Sie beide war tot.;Sie beide waren tot.;1
Aber, der Bruder war sehr gewagt und tapfer.;Aber der Bruder war sehr gewagt und tapfer.;0
Er dachte über Gefahr nicht, weil er seine Schwester retten möchte.;Er dachte über Gefahr nicht, weil er seine Schwester retten wollte.;1
Noch können wi r an eine Tat von Puschkin erinnern.;Noch können wi uns r an eine Tat von Puschkin erinnern.;1
Noch können wi uns r eine Tat von Puschkin erinnern.;Noch können wi uns r an eine Tat von Puschkin erinnern.;1
Noch können wi uns r an eine Handlung von Puschkin erinnern.;Noch können wi uns r an eine Tat von Puschkin erinnern.;1
Diese zwei Beispiele zeigen uns, dass der Heldenmut nicht immer bei bekannten Leuten vorkommt.;Diese zwei Beispiele zeigen uns, dass der Heldenmut nicht nur bei bekannten Leuten vorkommt.;2
Diese zwei Beispiele zeigen uns, dass der Heldenmut nicht nur für bekannte Leute sind.;Diese zwei Beispiele zeigen uns, dass der Heldenmut nicht nur bei bekannten Leuten vorkommt.;1
Zum Schluss möchte ich sagen, dass die richtige Helden unter uns sind.;Zum Schluss möchte ich sagen, dass die richtigen Helden unter uns sind.;1
Wir alle können als sie werden.;Wir alle können wie sie werden.;1
Für manche ist Glück in Liebeund Familie, für jemanden in der Karriere und Geld.;Für manche ist Glück in der Liebeund Familie, für jemanden in der Karriere und Geld.;0
Für manche ist Glück in der Liebe, Familie, für jemanden in der Karriere und Geld.;Für manche ist Glück in der Liebeund Familie, für jemanden in der Karriere und Geld.;0
Für manche ist Glück in der Liebeund Familie, für jemanden in einer Karriere und Geld.;Für manche ist Glück in der Liebeund Familie, für jemanden in der Karriere und Geld.;0
Für manche ist Glück in der Liebe Familie, für jemanden in der Karriere und Geld.;Für manche ist Glück in der Liebeund Familie, für jemanden in der Karriere und Geld.;0
Ich denke, dass das echtes Glück in Liebe und Wohlergehen ist.;Ich denke, dass das echte Glück in Liebe und Wohlergehen ist.;1
Zum Beispiel, in Puschkins Werk Die Hauptmannstochter verliebt sich Peter Grinev in Masha Mironova.;Zum Beispiel in Puschkins Werk Die Hauptmannstochter verliebt sich Peter Grinev in Masha Mironova.;0
Zum Beispiel in Puschkins Werk Die Tochter des Kapitäns verliebt sich Peter Grinev in Masha Mironova.;Zum Beispiel in Puschkins Werk Die Hauptmannstochter verliebt sich Peter Grinev in Masha Mironova.;0
Sie überwinden Schwierigkeiten, zusammen zu sein.;Sie überwinden Schwierigkeiten, um zusammen zu sein.;1
Im Finale der Arbeit bleiben sie zusammen und finden Glück.;Im Finale des Werks bleiben sie zusammen und finden Glück.;2
Im Märchen Der Zauberer der smaragdgrünen Stadt hatte jeder sein eigenes Konzept von Glück.;Im Märchen Der Zauberer der Smaragdenstadt hatte jeder sein eigenes Konzept von Glück.;0
Im Märchen Der Zauberer der Smaragdenstadt hatte jeder Hsein eigenes Konzept von Glück.;Im Märchen Der Zauberer der Smaragdenstadt hatte jeder sein eigenes Konzept von Glück.;0
Der Löwe nahm Mut auf.;Der Löwe bekam wieder Mut.;2
Goodwin machte ein Herz für den Holzfäller, er gab der Vogelscheuche den Gehirn.;Goodwin machte ein Herz für den Holzfäller, er gab der Vogelscheuche das Gehirn.;1
Zum Schluss möchte ich sage, dass es keine Antwort auf die Frage Was ist Glück?;Zum Schluss möchte ich sagen, dass es keine Antwort auf die Frage Was ist Glück?;1
Zum Schluss möchte ich sagen, dass es keine Antwort auf die Fragen Was ist Glück?;Zum Schluss möchte ich sagen, dass es keine Antwort auf die Frage Was ist Glück?;1
Die Kinder, die über sie gemobbt haben, wurden von ihren Eltern selbst vernachlässigt.;Die Kinder, die sie gemobbt haben, wurden von ihren Eltern selbst vernachlässigt.;1
Die Kinder, die sie gemobbt wurden, wurden von ihren Eltern selbst vernachlässigt.;Die Kinder, die sie gemobbt haben, wurden von ihren Eltern selbst vernachlässigt.;2
Die Kinder, die sie gemobbt haben, wurden von ihren Eltern selbst geworfen.;Die Kinder, die sie gemobbt haben, wurden von ihren Eltern selbst vernachlässigt.;2
Dort war die Situation ernst, Mobbing Klassenkameraden brachte das Mädchen zum Selbstmord.;Dort war die Situation ernst, Mobbing von Klassenkameraden brachte das Mädchen zum Selbstmord.;2
Lassen Sie mich zum Schluss noch sagen, dass das Thema Mobbing in der Schule ist immer noch aktuell.;Lassen Sie mich zum Schluss noch sagen, dass das Thema Mobbing in der Schule immer noch aktuell ist.;1
Traditionelle Werte Ich möchte heute folgendes Thema präsentieren: die traditionelle Werte.;Traditionelle Werte Ich möchte heute folgendes Thema präsentieren: die traditionellen Werte.;1
Ich werde versuchen, beide Blicke zu diesem Problem aufzudecken.;Ich versuche, beide Blicke zu diesem Problem aufzudecken.;1
Ich versuche beide Blicke zu diesem Problem aufzudecken.;Ich versuche, beide Blicke zu diesem Problem aufzudecken.;0
Ich versuche, beide Blicken zu diesem Problem aufzudecken.;Ich versuche, beide Blicke zu diesem Problem aufzudecken.;1
Die Familie und Liebe, Freunde sind sehr wichtig für mich. Ich schätze auch Treue, Freundlichkeit in den Menschen.;Die Familie und Liebeund Freunde sind sehr wichtig für mich. Ich schätze auch Treue, Freundlichkeit in den Menschen.;0
Der Patriotismus ist für mich nicht der Hauptwert.;Der Patriotismus ist für mich kein Hauptwert.;1
Tolstoi für Natasha Rostova waren Familie und Liebe die Hauptwerte, die sie am meisten schätzte.;Tolstoi für Natascha Rostowa waren Familie und Liebe die Hauptwerte, die sie am meisten schätzte.;0
Sie konnte sich ihr Leben ohne Eltern und Bruder und später auch ohne Bolkonski nicht vorstellen.;Sie konnte sich ihr Leben ohne Eltern und Bruder und später auch ohne Bolkonskij nicht vorstellen.;0
Natascha verliebte sich in ihn und fühlte sich erfüllt.;Natascha verliebte sich in ihn und fühlte sich inspiriert.;1
ihre Eltern haben Ihr seit ihrer Kindheit Respekt und Liebe für ihre Familie vermittelt.;ihre Eltern haben Ihr von ihrer Kindheit an Respekt und Liebe für ihre Familie vermittelt.;1
Als Beispiel für Patriotismus sprechen wir über Rostows und Bolkonskijs Familie.;Als Beispiel für Patriotismus sprechen wir über die Rostows und Bolkonskijs Familie.;0
Als Beispiel für Patriotismus sprechen wir über die Rostovs und Bolkonskys Familie.;Als Beispiel für Patriotismus sprechen wir über die Rostows und Bolkonskijs Familie.;0
